Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
David Du		D	1973-1974	1975-1976	184	14	41	55	-28	313	0	0	3		217
Mark Faye	EDM	D	2010-2011	2014-2015	274	14	39	53	3	105	0	2	1	0	330
Ke Leiter		D	1984-1985	1989-1990	143	14	36	50	19	62	5	0	1	0	286
Duc McCallum		D	1965-1966	1970-1971	187	14	35	49	-54	230	3	1	2		
Butch Williams		R	1973-1974	1975-1976	108	14	35	49	-21	131	2	0	0		160
Jeff Sharples		D	1986-1987	1988-1989	105	14	35	49	18	70	5	0	0	0	143
Craig Coxe		L	1984-1985	1991-1992	235	14	31	45	-27	713	3	0	2	0	146
Bigo Kampma		D	1937-1938	1941-1942	189	14	30	44		287					
Jea-Paul Leblac		C	1968-1969	1978-1979	153	14	30	44	-26	87	2	0	2		178
Ladislav Koh		R	1995-1996	2002-2003	186	14	28	42	-41	125	1	2	1	1	290
Art Wiebe		D	1932-1933	1943-1944	414	14	27	41		201					
Zack Stortii	PHI	R	2006-2007	2011-2012	257	14	27	41	-6	725	1	0	1	0	141
Jacob Trouba	WPG	D	2013-2014	2014-2015	96	14	27	41	7	59	0	1	1	0	184
Jared Cowe	OTT	D	2009-2010	2014-2015	181	14	26	40	-9	136	0	0	4	0	154
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Gerry James		R	1954-1955	1959-1960	149	14	26	40		257					
Ted Graham		D	1927-1928	1936-1937	346	14	25	39		300					
Paul Evas		C	1978-1979	1982-1983	103	14	25	39	13	34	0	1	2		90
Jack McLea		C	1942-1943	1944-1945	67	14	24	38		76					
Nick Johso		R	2009-2010	2013-2014	113	14	23	37	-8	52	1	0	2	0	196
Jackie McLeod		R	1949-1950	1954-1955	106	14	23	37		12					
Jeffrey Lazaro		L	1990-1991	1992-1993	102	14	23	37	3	114	1	2	1	0	157
Brado McMilla	ARI	L	2010-2011	2014-2015	142	14	21	35	-24	52	2	2	2	0	162
Ke McRae		C	1987-1988	1993-1994	137	14	21	35	-59	364	1	0	3	0	161
Valeri Nichushki	DAL	R	2013-2014	2014-2015	83	14	20	34	17	10	2	0	2	0	130
Frak Sprig		R	1969-1970	1976-1977	61	14	20	34	-7	12	6	0	0		98
Joh Gallagher		D	1930-1931	1938-1939	205	14	19	33		153					
Darryl Maggs		D	1971-1972	1979-1980	135	14	19	33	-28	54	0	0	1		159
James Hamilto		R	1977-1978	1984-1985	95	14	18	32	-11	28	1	0	1		143
Bill Summerhill		R	1937-1938	1941-1942	72	14	17	31		70					
Scott Parse		L	2009-2010	2011-2012	73	14	16	30	19	36	1	0	1	0	93
Ramzi Abid		L	2002-2003	2006-2007	68	14	16	30	-11	78	6	0	4	0	112
Richard Paik	TOR	R	2012-2013	2014-2015	103	14	15	29	-6	40	1	0	2	0	113
Steve Washbur		C	1995-1996	2000-2001	93	14	15	29	-4	42	5	0	2	0	90
Valeri Karpov		R	1994-1995	1996-1997	76	14	15	29	-7	32	0	0	1	0	94
Joseph Gage		R	1980-1981	1991-1992	68	14	15	29	-17	26	3	0	1	0	102
Lucie Greier		R	1968-1969	1971-1972	151	14	14	28	-6	18	2	1	2		110
Joe Dziedzic		L	1995-1996	1998-1999	130	14	14	28	-11	131	0	0	4	0	130
Rya Reaves	STL	R	2010-2011	2014-2015	224	14	13	27	1	450	0	0	4	0	113
Lore Stamler		L	1976-1977	1979-1980	116	14	11	25	-35	16	0	0	1		129
Daiel Corso		C	2000-2001	2003-2004	77	14	11	25	0	20	6	0	6	0	69
Brad Tapper		R	2000-2001	2002-2003	71	14	11	25	0	72	1	0	3	1	123
Camero Ma		R	1997-1998	2002-2003	93	14	10	24	-7	40	2	0	1	2	118
Roma Lyasheko		C	1999-2000	2002-2003	139	14	9	23	-7	55	0	0	2	0	119
Be Ferriero	STL	R	2009-2010	2013-2014	98	14	9	23	12	25	1	0	5	0	170
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Taer Pearso	LAK	L	2012-2013	2014-2015	57	14	7	21	15	22	2	0	4	0	84
Ed Gorma		D	1924-1925	1927-1928	111	14	6	20		108					
Clit Albright		C	1948-1949	1948-1949	59	14	5	19		19					
Harry Hylad		R	1917-1918	1917-1918	17	14	2	16		65					
Brooks Orpik	WSH	D	2002-2003	2014-2015	733	13	125	138	35	760	1	0	0	0	505
Kari Elorata		D	1981-1982	1986-1987	267	13	103	116	20	155	3	0	1		214
Bob Armstrog		D	1950-1951	1961-1962	542	13	86	99		671					
Shae O'Brie	FLA	D	2006-2007	2013-2014	528	13	78	91	10	911	2	0	3	0	425
Dale Hogaso		D	1969-1970	1981-1982	343	13	77	90	-104	186	1	0	0		343
Paul Shmyr		D	1968-1969	1981-1982	343	13	72	85	5	528	0	0	2		323
Jeff Filey		D	1987-1988	2003-2004	708	13	70	83	47	457	1	0	4	0	358
Robert Nordmark		D	1987-1988	1990-1991	236	13	70	83	-36	254	9	0	1	0	385
Steve Durbao		D	1972-1973	1978-1979	220	13	60	73	-21	"1,127"	4	0	0		333
Radoslav Suchy		D	1999-2000	2005-2006	451	13	58	71	23	104	4	0	2	0	281
Mattias Timader		D	1996-1997	2003-2004	419	13	57	70	-53	165	1	1	3	1	405
Ossi Vaaae		D	2000-2001	2008-2009	479	13	55	68	26	482	0	1	4	0	290
Ket Huskis		D	2006-2007	2012-2013	318	13	55	68	46	173	1	0	2	0	187
Jack Hille	WSH	D	2007-2008	2014-2015	274	13	53	66	-8	149	1	0	2	0	308
Leoard Frig		D	1972-1973	1979-1980	311	13	51	64	-66	479	4	0	1		453
Mikael Gralud	MIN	C	2012-2013	2014-2015	119	13	49	62	-7	32	2	0	3	0	181
Raimo Helmie		C	1985-1986	1988-1989	117	13	46	59	-27	16	6	0	2	0	177
Jim Pavese		D	1981-1982	1988-1989	328	13	44	57	-61	689	1	0	2	0	215
Jaso Strudwick		D	1995-1996	2010-2011	674	13	42	55	-82	811	0	0	2	1	251
Keeth Baumgarter		L	1987-1988	1998-1999	696	13	41	54	-73	"2,242"	0	0	1	1	290
Poul Popiel		D	1965-1966	1979-1980	224	13	41	54	7	210	2	0	4		
Deryk Egellad	CGY	D	2009-2010	2014-2015	270	13	36	49	-7	338	0	0	2	0	245
Neil Bellad		D	1981-1982	1986-1987	109	13	32	45	-19	54	4	0	1		166
Robert Dirk		D	1987-1988	1995-1996	402	13	29	42	55	786	0	0	2	1	214
Marco Scadella	MIN	D	2010-2011	2014-2015	190	13	29	42	-21	83	1	0	5	0	230
Moe Morris		D	1943-1944	1948-1949	135	13	29	42		58					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Larry Leach		C	1958-1959	1961-1962	126	13	29	42		91					
Cal O'Reilly	VAN	C	2008-2009	2011-2012	113	13	28	41	-4	12	3	0	1	0	90
Mark Greig		R	1990-1991	2002-2003	125	13	27	40	-9	90	0	0	1	0	127
Gary Shuchuk		C	1990-1991	1995-1996	142	13	26	39	-6	70	0	0	1	0	125
Dale Hery		L	1984-1985	1989-1990	132	13	26	39	3	263	0	0	1	1	107
Rya Strome	NYI	C	2013-2014	2014-2015	68	13	26	39	9	32	4	1	2	0	158
Alexader Svitov		C	2002-2003	2006-2007	179	13	24	37	-22	223	2	0	2	0	204
David Feamster		D	1981-1982	1984-1985	169	13	24	37	6	154	0	0	0		146
Scott Garlad		C	1975-1976	1978-1979	91	13	24	37	-22	115	4	0	1		102
Edward Roa		R	1991-1992	1996-1997	182	13	23	36	3	101	0	0	2	0	141
Waye Hicks		R	1959-1960	1967-1968	115	13	23	36	-3	22	3	0	1		
Filip Forsberg	NSH	C	2012-2013	2014-2015	48	13	23	36	10	8	3	0	4	0	125
Gary Sampso		L	1983-1984	1986-1987	105	13	22	35	9	25	0	1	1		101
Gord Sherve		C	1983-1984	1987-1988	97	13	22	35	-3	33	1	0	2	0	126
Jarrod Skalde		C	1990-1991	2001-2002	115	13	21	34	-23	62	2	0	4	1	143
Devate Smith-Pelly	ANA	R	2011-2012	2014-2015	105	13	21	34	-5	24	1	2	2	0	146
Scott Levis		R	1992-1993	1997-1998	124	13	20	33	-28	316	4	0	1	0	127
Matt Nieto	SJS	L	2013-2014	2014-2015	92	13	20	33	-4	26	2	0	3	0	170
Mathias Tjarqvist		L	2003-2004	2007-2008	173	13	19	32	-8	60	0	1	1	0	181
Murray Costello		C	1953-1954	1956-1957	162	13	19	32		54					
Da Sexto		R	2009-2010	2010-2011	88	13	19	32	-9	20	3	0	0	0	171
Cliff Schmautz		R	1970-1971	1970-1971	56	13	19	32	-8	33	2	0	2		109
James Joes		C	1977-1978	1979-1980	148	13	18	31	2	68	0	2	1		118
Kevi O'Shea		R	1970-1971	1972-1973	134	13	18	31	-44	85	0	1	1		131
Nick Tarasky	NYR	L	2005-2006	2009-2010	245	13	17	30	-30	297	1	0	2	0	198
Maria Cisar		L	1999-2000	2001-2002	73	13	17	30	-12	57	6	0	1	0	115
Ro Marti		R	1932-1933	1933-1934	94	13	16	29		36					
Larry Hopkis		L	1977-1978	1982-1983	60	13	16	29	10	26	0	0	4		71
Bert Coelly		L	1934-1935	1937-1938	87	13	15	28		37					
Berie Lukowich		R	1973-1974	1974-1975	79	13	15	28	0	34	3	0	4		79
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Russell Romaiuk		L	1991-1992	1995-1996	102	13	14	27	-14	63	6	0	2	0	104
Joatha Hedstrom		R	2002-2003	2005-2006	83	13	14	27	1	48	2	2	5	0	102
Robert Mograi		C	1979-1980	1985-1986	81	13	14	27	-1	14	0	0	3		84
Daiel Shak		R	1989-1990	1991-1992	77	13	14	27	-3	175	0	0	1	0	75
Nick Palmieri		R	2009-2010	2011-2012	87	13	12	25	-1	20	1	0	2	0	131
Jesse Joesuu	EDM	L	2008-2009	2014-2015	129	13	11	24	-25	77	1	1	3	0	137
Earl Heiskala		L	1968-1969	1970-1971	127	13	11	24	-28	294	0	0	1		191
Gary Holt		L	1973-1974	1977-1978	101	13	11	24	-16	133	1	0	1		123
Fred Glover		C	1948-1949	1952-1953	92	13	11	24		62					
Jaroslav Balastik		L	2005-2006	2006-2007	74	13	11	24	-4	30	8	0	2	0	164
Pete Palagio		L	1926-1927	1937-1938	71	13	10	23		28					
Bob Cook		R	1970-1971	1974-1975	72	13	9	22	-18	22	2	0	0		137
Doug Volmar		R	1969-1970	1972-1973	62	13	8	21	-2	26	3	0	2		76
Walt Ataas		R	1944-1945	1944-1945	49	13	8	21		40					
Brya McSheffrey		R	1972-1973	1974-1975	90	13	7	20	-45	44	3	0	0		117
Orville Heximer		L	1929-1930	1934-1935	84	13	7	20		16					
David Lagevi		D	1979-1980	1986-1987	513	12	107	119	107	530	0	1	1		511
Matt Ravlich		D	1962-1963	1972-1973	410	12	78	90	4	364	0	0	2		
Richard Ley		D	1968-1969	1980-1981	310	12	72	84	-11	528	1	0	1		329
Bruce Bell		D	1984-1985	1989-1990	209	12	64	76	27	113	5	0	2	0	275
Noel Picard		D	1964-1965	1972-1973	335	12	63	75	10	616	1	0	3		
Michael Kitche		D	1976-1977	1983-1984	474	12	62	74	-139	370	0	1	1		323
Howie Youg		D	1960-1961	1970-1971	336	12	62	74	-4	851	0	0	0		
Ladislav Smid	CGY	D	2006-2007	2014-2015	558	12	60	72	-58	466	0	0	0	0	353
Al Arbour		D	1953-1954	1970-1971	626	12	58	70	27	617	1	0	1		
William Nyrop		D	1975-1976	1981-1982	207	12	51	63	133	101	1	3	3		164
Greg Zao	FLA	D	2005-2006	2012-2013	493	12	50	62	-9	230	0	0	3	0	333
Scot Kleiedorst		C	1982-1983	1989-1990	281	12	46	58	-13	452	1	0	0	0	185
Erie Dickes		D	1941-1942	1950-1951	278	12	44	56		98					
Sta Neckar		D	1994-1995	2003-2004	510	12	41	53	-71	316	1	1	2	0	289
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Irv Specer		D	1959-1960	1967-1968	230	12	38	50	-1	127	0	0	0		
Yaick Weber	VAN	D	2008-2009	2014-2015	189	12	37	49	-19	76	7	0	3	0	276
Jiri Latal		D	1989-1990	1991-1992	92	12	36	48	-14	24	4	0	1	0	162
Do McFadye		C	1932-1933	1935-1936	179	12	33	45		77					
Mathieu Biro		D	1999-2000	2005-2006	253	12	32	44	-69	177	5	1	3	0	303
Michel Briere		C	1969-1970	1969-1970	76	12	32	44	-15	20	4	0	3		223
Murray Brumwell		D	1980-1981	1987-1988	128	12	31	43	-24	70	6	0	0	0	137
Clare Marti		D	1941-1942	1951-1952	237	12	28	40		78					
Red Goupille		D	1935-1936	1942-1943	222	12	28	40		256					
Adrew Hutchiso		D	2003-2004	2010-2011	140	12	27	39	-13	70	6	0	1	0	162
Kostati Koltsov		L	2002-2003	2005-2006	144	12	26	38	-42	50	2	1	3	1	199
T.J. Hesick		C	2007-2008	2010-2011	112	12	26	38	-16	18	5	0	1	0	193
Hugh Harris		C	1972-1973	1972-1973	60	12	26	38	9	17	0	0	0		121
David Savard	CBJ	D	2011-2012	2014-2015	135	12	24	36	-10	64	4	0	2	0	138
Berard Johsto		C	1979-1980	1980-1981	57	12	24	36	5	16	0	0	0		88
Krys Barch		R	2006-2007	2013-2014	381	12	23	35	-16	812	0	0	3	0	154
Pascal Trepaier		D	1997-1998	2002-2003	229	12	22	34	-8	252	5	0	1	1	265
Jiri Dopita		C	2001-2002	2002-2003	73	12	21	33	5	19	3	0	3	0	102
Jamie Wright		L	1997-1998	2002-2003	124	12	20	32	12	54	0	0	2	0	126
Radova Somik		R	2002-2003	2003-2004	113	12	20	32	7	27	0	1	2	0	136
Vitali Karamov		L	1992-1993	1994-1995	92	12	20	32	2	65	2	0	1	0	95
Robert Fitcher		C	1979-1980	1980-1981	78	12	20	32	-25	59	5	1	0		89
Gerry Odrowski		D	1960-1961	1971-1972	309	12	19	31	3	111	0	6	2		
Claude Boivi		L	1991-1992	1994-1995	132	12	19	31	-25	364	0	0	1	0	84
Nick Holde	COL	D	2010-2011	2014-2015	91	12	19	31	-3	46	2	0	2	0	107
Jorge Josso		C	1999-2000	1999-2000	81	12	19	31	-8	16	1	2	1	0	116
Zeo Koopka		C	2005-2006	2013-2014	346	12	18	30	-49	"1,082"	3	0	2	0	200
Jaroslav Svoboda		L	2001-2002	2005-2006	134	12	17	29	-5	62	1	0	3	0	135
Zach Boychuk	CAR	L	2008-2009	2014-2015	120	12	17	29	-4	14	1	0	1	0	153
Jorda Caro	BOS	R	2010-2011	2014-2015	125	12	16	28	-6	60	0	0	1	0	157
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Lyle Moffatt		L	1972-1973	1979-1980	97	12	16	28	-27	51	0	0	1		104
Jea-Yves Roy		R	1994-1995	1997-1998	61	12	16	28	-6	26	2	0	1	1	115
Joel Perrault		C	2005-2006	2010-2011	96	12	14	26	-18	68	3	0	2	0	150
Iva Cierik		L	1997-1998	2003-2004	89	12	14	26	9	32	0	0	2	1	99
Oscar Moller	LAK	R	2008-2009	2010-2011	87	12	14	26	-10	22	6	0	0	0	150
Emerso Etem	ANA	L	2012-2013	2014-2015	88	12	13	25	6	15	1	1	2	0	131
George Parsos		L	1936-1937	1938-1939	78	12	13	25		20					
Colto Orr	TOR	R	2003-2004	2013-2014	476	12	12	24	-33	"1,186"	0	0	4	0	173
Waye Va Dorp		L	1986-1987	1991-1992	125	12	12	24	5	570	0	0	1	0	81
Sheldo Keefe		R	2000-2001	2002-2003	125	12	12	24	-25	78	0	0	1	2	135
Bob Kirkpatrick		C	1942-1943	1942-1943	49	12	12	24		6					
Gerry Carso		D	1928-1929	1936-1937	261	12	11	23		205					
George Massecar		L	1929-1930	1931-1932	100	12	11	23		46					
Tom Marti		L	1984-1985	1989-1990	92	12	11	23	10	259	0	0	1	0	75
Eio Sclisizzi		L	1946-1947	1952-1953	81	12	11	23		26					
Jaso Kig		R	2002-2003	2007-2008	59	12	11	23	-3	8	6	0	1	0	121
Dick Cherry		D	1956-1957	1969-1970	145	12	10	22	-35	45	1	1	3		
Cory Emmerto		C	2010-2011	2013-2014	139	12	9	21	-1	22	0	0	0	0	143
Derek Laxdal		R	1984-1985	1990-1991	67	12	7	19	-18	88	1	0	0	0	69
Raitis Ivaas		L	2005-2006	2011-2012	282	12	6	18	-41	569	0	0	2	0	128
Dae Jackso		R	1993-1994	1997-1998	45	12	6	18	7	58	0	0	2	0	49
Butch Deadmarsh		L	1970-1971	1974-1975	137	12	5	17	-24	155	2	0	2		132
Daiel Goeau		L	1996-1997	1999-2000	53	12	3	15	-10	14	3	0	3	0	60
Miroslav Dvorak		D	1982-1983	1984-1985	193	11	74	85	58	51	2	3	1		248
Barry Log		D	1972-1973	1981-1982	280	11	68	79	-58	250	1	0	0		404
Shaoe Morriso		D	2002-2003	2010-2011	480	11	64	75	34	455	0	0	4	0	293
Jeff Schultz	LAK	D	2006-2007	2013-2014	399	11	64	75	78	133	0	1	1	0	209
Larry Melyk		D	1980-1981	1989-1990	432	11	63	74	-40	686	0	1	2	0	314
Lukas Krajicek		D	2001-2002	2009-2010	328	11	61	72	-30	245	5	0	2	0	349
Joseph Micheletti		D	1979-1980	1981-1982	158	11	60	71	1	114	7	0	1		241
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Doug Zmolek		D	1992-1993	1999-2000	467	11	53	64	-84	905	2	0	0	0	298
David Williams		D	1991-1992	1994-1995	173	11	53	64	-37	157	5	0	1	1	255
Shaw Aderso		D	1986-1987	1994-1995	255	11	51	62	1	117	6	0	0	0	214
Jiri Fischer		D	1999-2000	2005-2006	305	11	49	60	29	295	1	1	2	0	378
Luca Sbisa	VAN	D	2008-2009	2014-2015	291	11	49	60	-30	225	1	0	2	0	296
Bob Gassoff		D	1973-1974	1976-1977	245	11	47	58	-15	866	1	0	4		307
Trevor Johase		D	1977-1978	1981-1982	286	11	46	57	-71	282	1	0	0		257
Frak Marti		D	1952-1953	1957-1958	282	11	46	57		122					
Dwight Bialowas		D	1973-1974	1976-1977	164	11	46	57	-20	46	9	0	1		215
Jakub Kidl	DET	D	2009-2010	2014-2015	238	11	45	56	11	127	3	0	2	0	332
Duvie Westcott		D	2001-2002	2007-2008	201	11	45	56	-42	299	4	1	1	0	247
Ala Camero		D	1975-1976	1980-1981	282	11	44	55	-106	356	3	0	0		371
Bill Moe		D	1944-1945	1948-1949	261	11	42	53		163					
Matt Gilroy		D	2009-2010	2013-2014	225	11	37	48	2	67	0	0	2	0	278
Joh McIlhargey		D	1974-1975	1981-1982	393	11	36	47	-49	"1,102"	0	0	0		189
Todd Reirde		D	1998-1999	2003-2004	183	11	35	46	-14	181	2	0	1	0	255
Joh Mariucci		D	1940-1941	1947-1948	223	11	34	45		308					
Barry Richter		D	1995-1996	2000-2001	151	11	34	45	-15	76	1	0	2	0	206
Blake Sloa		R	1998-1999	2003-2004	290	11	32	43	-17	162	0	0	2	0	265
Adrew Desjardis	SJS	C	2010-2011	2014-2015	248	11	32	43	-14	235	0	0	4	0	259
Joe Colbore	CGY	C	2010-2011	2014-2015	111	11	32	43	-15	52	1	0	1	0	105
Douglas Lecuyer		L	1978-1979	1982-1983	126	11	31	42	-39	178	0	0	3		163
Joe Vitale	ARI	C	2010-2011	2014-2015	194	11	30	41	-16	136	0	0	3	0	176
Fred Hucul		D	1950-1951	1967-1968	164	11	30	41	-3	113	1	0	0		
Eric Gelias	NJD	D	2012-2013	2014-2015	86	11	28	39	0	36	6	0	2	0	178
Peter Harrold	NJD	D	2006-2007	2014-2015	239	11	27	38	-25	70	2	0	1	0	241
Hau Jarvepaa		R	1986-1987	1988-1989	114	11	26	37	-18	83	2	0	0	0	115
Rick Foley		D	1970-1971	1973-1974	67	11	26	37	-22	180	5	0	0		133
Bob McMaama		C	1973-1974	1975-1976	99	11	25	36	-6	28	0	1	1		107
Bill Beso		C	1940-1941	1941-1942	67	11	25	36		35					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Joh Mahaffy		C	1942-1943	1944-1945	37	11	25	36		4					
Craig MacDoald		C	1998-1999	2008-2009	233	11	24	35	-15	91	1	1	1	0	269
William Root		D	1982-1983	1987-1988	247	11	23	34	-15	180	3	1	0	0	233
Joas Brodi	MIN	D	2012-2013	2014-2015	144	11	23	34	18	32	4	0	0	0	154
Paul Guay		R	1983-1984	1990-1991	117	11	23	34	-24	92	0	0	0	0	107
Ossie Asmudso		C	1932-1933	1937-1938	111	11	23	34		30					
Vladimir Krutov		L	1989-1990	1989-1990	61	11	23	34	-5	20	2	0	1	0	81
Jake Dowell		C	2007-2008	2013-2014	157	11	22	33	4	133	0	1	0	0	140
Chris Taylor		C	1994-1995	2003-2004	149	11	21	32	-5	48	0	1	0	0	174
Gerald Mior		D	1979-1980	1983-1984	140	11	21	32	-8	173	1	6	0		141
Stephe Giota	NJD	C	2010-2011	2014-2015	159	11	20	31	-4	44	0	1	2	0	203
Ja Vopat		D	1995-1996	1999-2000	126	11	20	31	15	70	0	0	2	1	119
Steve Black		L	1949-1950	1950-1951	113	11	20	31		77					
Tret Whitfield		C	1999-2000	2011-2012	194	11	18	29	-3	104	1	1	3	0	165
Steve Kraftcheck		D	1950-1951	1958-1959	157	11	18	29		83					
Dale Craigwell		C	1991-1992	1993-1994	98	11	18	29	-20	28	4	1	2	0	80
Lace Bouma	CGY	C	2010-2011	2014-2015	152	11	17	28	-14	65	0	1	1	0	148
Atti Aalto		C	1997-1998	2000-2001	151	11	17	28	-25	52	3	0	1	0	182
Joakim Adersso	DET	C	2011-2012	2014-2015	135	11	17	28	-8	30	0	0	1	0	157
Pat Graham		L	1981-1982	1983-1984	103	11	17	28	-16	136	1	0	1		122
Joh Smrke		L	1977-1978	1979-1980	103	11	17	28	-28	33	0	1	0		124
Kirk Bowma		L	1976-1977	1978-1979	88	11	17	28	-7	19	2	0	2		105
Chris Porter	STL	L	2008-2009	2014-2015	160	11	16	27	-4	33	0	0	5	0	206
Christia Berglud		L	2001-2002	2003-2004	86	11	16	27	-6	42	0	0	0	0	122
Frak Jerwa		L	1931-1932	1934-1935	81	11	16	27		53					
Dick Meisser		R	1959-1960	1964-1965	171	11	15	26		37					
Carl Mokosak		L	1981-1982	1988-1989	83	11	15	26	-18	170	0	0	0	0	73
Bob Chrystal		D	1953-1954	1954-1955	132	11	14	25		112					
Deis Chasse		R	1993-1994	1996-1997	132	11	14	25	2	292	2	0	1	0	96
Deis Shvidki		R	2000-2001	2003-2004	76	11	14	25	-5	30	2	0	2	0	72
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Lace Nethery		C	1980-1981	1981-1982	41	11	14	25	0	14	2	0	0		52
Bob Gryp		L	1973-1974	1975-1976	74	11	13	24	-44	33	0	0	0		95
Dimitri Nabokov		R	1997-1998	1999-2000	55	11	13	24	-5	28	3	0	2	0	78
Neil Strai		L	1952-1953	1952-1953	52	11	13	24		12					
Bill Cupolo		R	1944-1945	1944-1945	47	11	13	24		10					
Ke Belager		L	1994-1995	2005-2006	248	11	12	23	-19	695	0	0	2	0	112
Christopher Cichocki		R	1985-1986	1988-1989	68	11	12	23	-9	27	1	1	0	0	80
Brett Coolly	TBL	R	2011-2012	2014-2015	105	11	11	22	-16	51	4	0	4	0	150
Brado Segal		R	2008-2009	2012-2013	103	11	11	22	1	85	0	0	3	0	105
Eric Chouiard		C	2000-2001	2005-2006	90	11	11	22	-8	16	2	0	1	1	116
Pavel Bredl		R	2001-2002	2005-2006	78	11	11	22	1	16	2	0	2	1	130
Mark Stoe	OTT	R	2011-2012	2014-2015	51	11	11	22	8	12	2	1	0	0	79
Edward Kastelic		R	1985-1986	1991-1992	220	11	10	21	-20	719	1	0	0	0	97
Jorda Nola	LAK	C	2011-2012	2014-2015	152	11	10	21	-7	144	0	0	2	0	117
Mike Maeluk		R	1998-1999	2000-2001	85	11	10	21	-6	57	3	0	3	0	88
Joh Markell		L	1979-1980	1984-1985	55	11	10	21	-27	36	3	0	1		57
Jamie Leach		R	1989-1990	1993-1994	81	11	9	20	-9	12	1	0	0	0	71
Mitch Lamoureux		C	1983-1984	1987-1988	73	11	9	20	-16	59	0	2	0	0	95
Mike Hoffma	OTT	L	2011-2012	2014-2015	56	11	9	20	6	8	1	0	2	0	135
Justi Papieau		C	2001-2002	2003-2004	81	11	8	19	2	12	5	0	4	0	67
Wally Wilso		C	1947-1948	1947-1948	53	11	8	19		18					
Daiel Lacroix		C	1993-1994	1999-2000	188	11	7	18	-5	379	1	0	0	0	115
Jay Mazur		R	1988-1989	1991-1992	47	11	7	18	-1	20	1	1	2	0	66
Lloyd Gross		L	1926-1927	1934-1935	62	11	5	16		20					
Daiel Syder		C	2000-2001	2002-2003	49	11	5	16	-7	64	0	1	1	1	50
Todd Berge		C	1984-1985	1984-1985	14	11	5	16	9	4	3	0	3		38
Jesse Sprig		D	1923-1924	1929-1930	133	11	4	15		74					
Al Hamilto		D	1965-1966	1979-1980	257	10	78	88	-45	258	2	0	1		
Chris Butler	STL	D	2008-2009	2014-2015	359	10	67	77	-35	169	0	1	2	0	348
Peter Popovic		D	1993-1994	2000-2001	485	10	63	73	-1	291	1	0	0	0	383
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Bob McCord		D	1963-1964	1972-1973	316	10	58	68	-51	262	1	0	0		
Hugh Bolto		D	1949-1950	1956-1957	235	10	51	61		221					
Perry Miller		D	1977-1978	1980-1981	217	10	51	61	-40	387	3	1	2		311
Lee Fogoli		D	1947-1948	1955-1956	427	10	48	58		575					
Ricard Persso		D	1995-1996	2001-2002	229	10	44	54	16	262	2	0	1	0	271
Doug Barrie		D	1968-1969	1971-1972	158	10	42	52	-52	268	1	0	1		231
Peter Adersso		D	1983-1984	1985-1986	172	10	41	51	17	81	6	0	3		206
Walt Buswell		D	1932-1933	1939-1940	368	10	40	50		164					
Alexader Godyyuk		D	1990-1991	1996-1997	223	10	39	49	-8	224	1	0	3	0	253
Waye McBea		D	1987-1988	1993-1994	211	10	39	49	-72	168	4	1	1	0	318
Has Josso		D	1999-2000	2002-2003	242	10	38	48	-29	92	4	1	1	0	170
Patrick Wiercioch	OTT	D	2010-2011	2014-2015	120	10	38	48	12	81	6	0	1	0	203
Joatha Girard		D	1998-1999	2002-2003	150	10	34	44	6	46	4	0	3	0	213
Doug Berry		C	1979-1980	1980-1981	121	10	33	43	-38	25	0	2	1		110
Eric Cairs		D	1996-1997	2006-2007	457	10	32	42	-45	"1,182"	0	0	1	0	220
Adre Beoit	BUF	D	2010-2011	2014-2015	142	10	31	41	-10	50	2	0	4	0	196
Bret Severy		L	1989-1990	1998-1999	328	10	30	40	-30	825	2	0	1	0	297
Jea-Fracois Jomphe		C	1995-1996	1998-1999	111	10	29	39	-1	102	2	1	0	0	139
Olli Maatta	PIT	D	2013-2014	2014-2015	98	10	28	38	9	24	3	1	1	0	146
Darre Rumble		D	1990-1991	2003-2004	193	10	26	36	-72	216	0	0	0	0	231
David Wilkie		D	1994-1995	2000-2001	167	10	26	36	-62	165	4	0	1	0	188
Matt Irwi	SJS	D	2012-2013	2014-2015	115	10	26	36	-2	49	6	0	0	0	244
